Country,Year Enacted,Scope,Length (in Words),Executive Power,Legislative Power,Judicial Independence,Number of Rights,Preamble
Liechtenstein,1921,0.47,"9,513",5,0.19,2,29,"We, John II, by the Grace of God, Prince Regnant of Liechtenstein, Duke of Troppau, Count of Rietberg, etc. etc. etc. make known that the Constitution of 26 September 1862 has been modified by Us with the assent of Our Diet as follows:"
Lithuania,1992,0.66,"12,214",4,0.38,3,66,"THE LITHUANIAN NATION – having created the State of Lithuania many centuries ago, – having based its legal foundations on the Lithuanian Statutes and the Constitutions of the Republic of Lithuania, – having for centuries staunchly defended its freedom and independence, – having preserved its spirit, native language, writing, and customs, – embodying the innate right of the human being and the Nation to live and create freely in the land of their fathers and forefathers—in the independent State of Lithuania, – fostering national concord in the land of Lithuania, – striving for an open, just, and harmonious civil society and State under the rule of law, by the will of the citizens of the reborn State of Lithuania, adopts and proclaims this"
Luxembourg,1868,0.53,"5,601",5,0.33,3,27,
Macedonia,1991,0.6,"13,486",3,0.38,3,68," Taking as the points of departure the historical, cultural, spiritual and statehood heritage of the Macedonian people and their struggle over centuries for national and social freedom as well as for the creation of their own state, and particularly the traditions of statehood and legality of the Krushevo Republic and the historic decisions of the Anti-Fascist Assembly of the People&#x27;s Liberation of Macedonia, together with the constitutional and legal continuity of the Macedonian state as a sovereign republic within Federal Yugoslavia and the freely manifested will of the citizens of the Republic of Macedonia in the referendum of September 8th, 1991, as well as the historical fact that Macedonia is established as a national state of the Macedonian people, in which full equality as citizens and permanent co-existence with the Macedonian people is provided for Albanians, Turks, Vlachs, Romanies and other nationalities living in the Republic of Macedonia, and intent on:the establishment of the Republic of Macedonia as a sovereign and independent state, as well as a civil and democratic one;the establishment and consolidation of the rule of law as a fundamental system of government; the guaranteeing of human rights, citizens, freedoms and ethnic equality; the provision of peace and a common home for the Macedonian people with the nationalities living in the Republic of Macedonia; and on the provision of social justice, economic wellbeing and prosperity in the life of the individual and the community, the Assembly of the Republic of Macedonia adopts THE CONSTITUTION OF THE REPUBLIC OF MACEDONIA"
Madagascar,2010,0.6,"15,759",7,0.19,1,46," The sovereign Malagasy People, Affirming its belief in Andriamanitra Andriananahary, Resolute to promote and to develop its heritage of society living in harmony and respectful of otherness, of the wealth and of the dynamism of its cultural and spiritual values through the « fanahy maha-olona », Convinced of the necessity of the Malagasy society to recover its originality, its authenticity and its Malagasy character, and to inscribe itself in the modernity of the millennium while conserving its traditional fundamental principles and values based on the Malagasy fanahy that includes « ny fitiavana, ny fihavanana, ny fifanajàna, ny fitandroana ny aina », and privileging a framework of life allowing a « living together » without distinction of region, of origin, of ethnicity, of religion, of political opinion, or of gender, Conscious that it is indispensable to implement a process of national reconciliation, Convinced that the Fokonolona, organized in Fokontany, constitutes a framework of life, of emancipation, of exchange and of participative dialog of the citizen, Persuaded of the exceptional importance of the wealth of the fauna, of the flora and of the mining resources of high specificities with which nature has provided Madagascar, and that it is important to preserve it for the future generations, Declaring that the non-respect for the Constitution or its revision with a view to reinforce the power of those governing to the detriment of the interests of the population are the causes of the cyclical crises, Considering the geopolitical situation of Madagascar and its voluntarist participation in the dialog of nations, and making its own, notably:The International Charter of the Rights of Man;The Conventions relative to the rights of the child, to the rights of women, to the protection of the environment, to the social, economical, political, civil and cultural rights, Considering that the development of the personality and of the identity of all Malagasies is the essential factor of the durable and full development of which the conditions are, notably:the preservation of peace, the practice of solidarity and the duty of preserving the national unity in the implementation of a policy of balanced and harmonious development;the respect for and protection of the fundamental freedoms and rights; The establishment of a State of law by virtue of which those governing and those governed are submitted to the same juridical norms, under the control of an independent Justice; the elimination of all forms of injustice, of corruption, of inequality and of discrimination; the rational and equitable administration of the natural resources for the needs of the development of the human being; the good governance in the conduct of public affairs, thanks to transparency in the administration and the accountability of the depositaries of the public power; the separation and the equilibrium of power exercised through democratic procedures; the implementation of effective decentralization, through the granting of the largest autonomy to the decentralized collectivities both at the level of the competences and level of financial means; the preservation of human security. Declare:"
Malawi,1994,0.67,"33,422",3,0.43,4,66,"THE PEOPLE OF MALAWI— recognizing the sanctity of human life and the unity of all mankind; guided by their private consciences and collective wisdom; seeking to guarantee the welfare and development of all the people of Malawi, national harmony and peaceful international relations; desirous of creating a constitutional order in the Republic of Malawi based on the need for an open, democratic and accountable government: HEREBY adopt the following as the Constitution of the Republic of Malawi."
Malaysia,1957,0.59,"64,080",4,0.1,2,31,
Maldives,2008,0.61,"23,991",1,0.38,5,74,
Mali,1992,0.54,"7,503",7,0.24,2,43," The sovereign people of Mali, strong from their traditions of heroic struggle, pledge to remain faithful to the ideals of the victims of repression and the fallen martyrs of the battlefield for the rise of a state of law and pluralist democracy,affirm their volition to preserve and reinforce the democratic gains of the Revolution of March 26, 1991,solemnly undertake to defend the republican and secular form of the state, proclaim their determination to defend the rights of women and children as well as the cultural and linguistic diversity of the national community, reaffirm their determination to maintain and consolidate the national unity, undertake to assure the improvement of the quality of life, the protection of the environment and the cultural patrimony, subscribe to the Universal Declaration of the Rights of Man of December 10, 1948and to the African Charter of the Rights of Man and People of June 27, 1981, reaffirm their attachment to the realization of African Unity, to the promotion of peace, regional and international cooperation, to the peaceful resolution of differences between states in deference to justice, equality, liberty and the sovereignty of the people."
Malta,1964,0.47,"31,820",4,0.14,2,46,
Marshall Islands,1979,0.44,"21,429",1,0.19,5,46,"WE, THE PEOPLE OF THE REPUBLIC OF THE MARSHALL ISLANDS, trusting in God, the Giver of our life, liberty, identity and our inherent rights, do hereby exercise these rights and establish for ourselves and generations to come this Constitution, setting forth the legitimate legal framework for the governance of the Republic. We have reason to be proud of our forefathers who boldly ventured across the unknown waters of the vast Pacific Ocean many centuries ago, ably responding to the constant challenges of maintaining a bare existence on these tiny islands, in their noble quest to build their own distinctive society. This society has survived, and has withstood the test of time, the impact of other cultures, the devastation of war, and the high price paid for the purposes of international peace and security. All we have and are today as a people, we have received as a sacred heritage which we pledge ourselves to safeguard and maintain, valuing nothing more dearly than our rightful home on the islands within the traditional boundaries of this archipelago. With this Constitution, we affirm our desire and right to live in peace and harmony, subscribing to the principles of democracy, sharing the aspirations of all other peoples for a free and peaceful world, and striving to do all we can to assist in achieving this goal. We extend to other peoples what we profoundly seek from them: peace, friendship, mutual understanding, and respect for our individual idealism and our common humanity."
Mauritania,1991,0.49,"6,997",6,0.33,1,31," Trusting in the omnipotence of Allah, the Mauritanian people proclaim their will to guarantee the integrity of its Territory, its Independence, and its National Unity and to assume its free political, economic and social evolution. Strong from its spiritual values and from the radiation of its civilization, it also proclaims, solemnly, its attachment to Islam and to the principles of democracy as they have been defined by the Universal Declaration of the Rights of Man of 10 December 1948 and by the African Charter of the Rights of Man and of Peoples of 28 June 1981 as well as in the other international conventions to which Mauritania has subscribed. Considering that the liberty, the equality, and the dignity of Man cannot be assured except in a society which consecrates the primacy of law, concerned by creating durable conditions for a harmonious social evolution, respectful of the precepts of Islam, sole source of law and open to the exigencies of the modern world, the Mauritanian people proclaim, in particular, the intangible guarantee of the following rights and principles:the right to equality;the fundamental freedoms and rights of the human person; the right of property; the political freedoms and the trade union [syndicales] freedoms; the economic and social rights; the rights attached to the family, basic unit of the Islamic society. United throughout history, by shared moral and spiritual values and aspiring to a common future, the Mauritanian People recognize and proclaim their cultural diversity, base of national unity and of social cohesion, and its corollary, the right to be different [à la difference]. The Arabic language, official language of the country and the other national languages, the Poular, the Soninké and the Wolof, constitute, each in itself, a national common patrimony to all Mauritanians that the State must, in the name of all, preserve and promote. Conscious of the necessity of strengthening the ties with [their] brother peoples, the Mauritanian people, Muslim people, Arab and African, proclaim that they will work for the realization of the unity of the Grand Maghreb, of the Arab Nation and of Africa and for the consolidation of peace in the world."
Mauritius,1968,0.47,"37,320",3,0.14,3,36,
Mexico,1917,0.76,"57,087",4,0.33,4,81,
Micronesia,1978,0.46,"5,271",3,0.19,4,36,"WE, THE PEOPLE OF MICRONESIA, exercising our inherent sovereignty, do hereby establish this Constitution of the Federated States of Micronesia. With this Constitution, we affirm our common wish to live together in peace and harmony, to preserve the heritage of the past, and to protect the promise of the future. To make one nation of many islands, we respect the diversity of our cultures. Our differences enrich us. The seas bring us together, they do not separate us. Our islands sustain us, our island nation enlarges us and makes us stronger. Our ancestors, who made their homes on these islands, displaced no other people. We, who remain, wish no other home than this. Having known war, we hope for peace. Having been divided, we wish unity. Having been ruled, we seek freedom. Micronesia began in the days when man explored seas in rafts and canoes. The Micronesian nation is born in an age when men voyage among stars; our world itself is an island. We extend to all nations what we seek from each: peace, friendship, cooperation, and love in our common humanity. With this Constitution we, who have been the wards of other nations, become the proud guardian of our own islands, now and forever."
Moldova,1994,0.61,"12,818",5,0.38,2,65,"WE, the plenipotentiary representatives of the people of the Republic of Moldova, members of the Parliament, STARTING from the age-old aspirations of our people to live in a sovereign country, expressed by the proclamation of independence of the Republic of Moldova, TAKING DUE ACCOUNT to the continuity of the Moldavian people statehood within the historical and ethnic framework of its growing as a nation, STRIVING to satisfy the interests of citizens of a different ethnic origin, which together with the Moldavians, constitute the Republic of Moldova people, CONSIDERING the rule of law, civic peace, democracy, human dignity, fundamental human rights and freedoms, the free development of human personality, justice and political pluralism as supreme values, BEING AWARE of our responsibility and obligations towards the previous, present and future generations, REASSERTING our devotion to overall human values and desire to live in peace and harmony with all world-wide peoples, in compliance with the unanimously acknowledged principles and norms of the international law, We herewith adopt the Constitution of the Republic of Moldova, and declare it as the SUPREME LAW OF OUR SOCIETY AND STATE."
Monaco,1962,0.37,"3,814",5,0.14,2,26,
Mongolia,1992,0.56,"8,250",6,0.33,4,62," We, the people of Mongolia:consolidating and strengthening the independence and sovereignty of our state,respecting and upholding the human rights and freedom, justice, and unity of our nation, inheriting and cherishing the traditions of our statehood, history and culture, considering and respecting the accomplishments of human civilization, shall aspire to the supreme goal of building and developing a humane, civic and democratic society in our motherland. Thus, do hereby proclaim and declare this Constitution of Mongolia to the entire populace."
Montenegro,2007,0.64,"11,572",5,0.43,4,76,"Stemming from: The decision of the citizens of Montenegro to live in an independent and sovereign state of Montenegro, made in the referendum held on May 21, 2006; The commitment of the citizens of Montenegro to live in a state in which the basic values are freedom, peace, tolerance, respect for human rights and liberties, multiculturalism, democracy and the rule of law; The determination that we, as free and equal citizens, members of peoples and national minorities who live in Montenegro: Montenegrins, Serbs, Bosniacs, Albanians, Muslims, Croats and the others, are committed to democratic and civic Montenegro; The conviction that the state is responsible for the preservation of nature, sound environment, sustainable development, balanced development of all its regions and the establishment of social justice; The dedication to cooperation on equal footing with other nations and states and to the European and Euro-Atlantic integrations, the Constitutional assembly of the Republic of Montenegro, at its third sitting of the second regular session in 2007, held on 19 October 2007, adopts THE CONSTITUTION OF THE REPUBLIC OF MONTENEGRO"
Morocco,2011,0.64,"15,897",7,0.19,3,53," With fidelity to its irreversible choice to construct a democratic State of Law, the Kingdom of Morocco resolutely pursues the process of consolidation and of reinforcement of the institutions of a modern State, having as its bases the principles of participation, of pluralism and of good governance. It develops a society of solidarity where all enjoy security, liberty, equality of opportunities, of respect for their dignity and for social justice, within the framework of the principle of correlation between the rights and the duties of the citizenry. A sovereign Muslim State, attached to its national unity and to its territorial integrity, the Kingdom of Morocco intends to preserve, in its plentitude and its diversity, its one and indivisible national identity. Its unity, is forged by the convergence of its Arab-Islamist, Berber [amazighe] and Saharan-Hassanic [saharo-hassanie] components, nourished and enriched by its African, Andalusian, Hebraic and Mediterranean influences [affluents]. The preeminence accorded to the Muslim religion in the national reference is consistent with [va de pair] the attachment of the Moroccan people to the values of openness, of moderation, of tolerance and of dialog for mutual understanding between all the cultures and the civilizations of the world. Considering the imperative to reinforce the role which belongs to it on the international scene, the Kingdom of Morocco, active member within the international organizations, is committed to subscribe to the principles, rights and obligations enounced in their respective charters and conventions; it affirms its attachment to the Rights of Man such as they are universally recognized, as well as its will to continue to work to preserve peace and security in the world. Founded on these values and these immutable principles, and strong in its firm will to reaffirm the bonds of fraternity, or cooperation, or solidarity and of constructive partnership with all other States, and to work for common progress, the Kingdom of Morocco, [a] united State, totally sovereign, belonging the Grand Maghreb, reaffirms that which follows and commits itself:To work for the construction of the Union of the Maghreb, as [a] strategic option;To deepen the bonds of togetherness with the Arab and Islamist Ummah [Oumma], and to reinforce the bonds of fraternity and of solidarity with its brother peoples; To consolidate relations of cooperation and of solidarity with the peoples and the countries of Africa, notably the sub-Saharan countries and the [countries] of the Sahel; To intensify relations of cooperation, of rapprochement and of partnership with neighboring Euro-Mediterranean countries; To enlarge and to diversify its relations of amity and of its rapport with human, economic, scientific, technical and cultural exchange with the countries of the world; To reinforce South-South cooperation [cooperation Sud-Sud]; To protect and to promote the mechanisms [dispositifs] of the Rights of Man and of international humanitarian law and to contribute to their development within their indivisibility and their universality; To ban and combat all discrimination whenever it encounters it, for reason of sex, or color, of beliefs, of culture, of social or regional origin, of language, of handicap or whatever personal circumstance that may be; To comply with [accorder] the international conventions duly ratified by it, within the framework of the provisions of the Constitution and of the laws of the Kingdom, within respect for its immutable national identity, and on the publication of these conventions, [their] primacy over the internal law of the country, and to harmonize in consequence the pertinent provisions of national legislation. This  is made [an] integral part of this Constitution."
Mozambique,2004,0.73,"24,171",7,0.14,2,64,"Meeting the age-old desires of our people, the armed struggle for national liberation, whose purpose was to liberate the land and Man, brought together all the patriotic sectors of Mozambican society in the same ideals of freedom, unity, justice and progress. When national independence was won on the 25th of June 1975, the Mozambican people were given back their fundamental rights and freedoms. The Constitution of 1990 introduced the democratic rule of law, based on the separation and interdependence of powers and on pluralism. It laid down the structural parameters for modernisation, making a decisive contribution to the beginning of a democratic climate that led the country to its first multiparty elections. This Constitution reaffirms, develops and deepens the fundamental principles of the Mozambican State, and enshrines the sovereign nature of the democratic rule of law, based on pluralism of expression and partisan organisation and on respect for and the guarantee of fundamental rights and liberties of citizens. The extensive participation of citizens in making this basic law conveys the consensus to strengthen democracy and national unity, which flows from the collective wisdom of the people."
Myanmar,2008,0.6,"40,492",3,0.38,4,39," Myanmar is a Nation with magnificent historical traditions. We, the National people, have been living in unity and oneness, setting up an independent sovereign State and standing tall with pride. Due to colonial intrusion, the Nation lost her sovereign power in 1885. The National people launched anti-colonialist struggles and National liberation struggles, with unity in strength, sacrificing lives and hence the Nation became an independent sovereign State again on 4th January 1948. In order to gain independence speedily, the Constitution was hastily drafted, and it was adopted by the Constituent Assembly on 24th September 1947. After attaining independence, Parliamentary Democracy System was practised in the State in accord with the Constitution of the Union of Myanmar. However, as democratic system could not be effectively materialized, the new Constitution of the Socialist Republic of the Union of Myanmar was drafted based on the single party system, and after holding a National Referendum, a socialist democratic State was set up in 1974. The Constitution came to an end because of the general situation occurred in 1988. Later, due to public aspirations, the State Peace and Development Council made efforts to adopt multi-party democratic system and market economy in accord with the National situation. As an enduring Constitution, that guarantees long-term benefits, has become essential for the future nation, the State Peace and Development Council convened the National Convention in 1993. Persons who are well experienced in various aspects of politics, security, administration, economics, social and law as well as National races representatives of all townships in the Nation took part in the National Convention. Despite many difficulties and disturbances encountered the National Convention, it was unwaveringly reconvened in 2004 in accord with the seven-step Roadmap adopted in 2003. As the National Convention was able to adopt the Basic Principles and Detailed Basic Principles for formulating a Constitution, it successfully concluded on 3rd September 2007. We, the National people, drafted this Constitution of the Republic of the Union of Myanmar in accord with the Basic Principles and Detailed Basic Principles laid down by the National Convention. We, the National people, firmly resolve that we shall:steadfastly adhere to the objectives of non-disintegration of the Union, non-disintegration of National solidarity, and perpetuation of sovereignty;stalwartly strive for further burgeoning the eternal principles namely justice, liberty, equality and perpetuation of peace and prosperity of the National people; uphold racial equality, living eternally in unity fostering the firm Union Spirit of true patriotism; constantly endeavour to uphold the principles of peaceful co-existence among nations with a view to having world peace and friendly relations among nations. DO HEREBY ADOPT this Constitution of the Republic of the Union of Myanmar through a nation-wide referendum on the Tenth day of Kasone Waning, 1370 M.E. (The Twenty-Ninth day of May, 2008 A.D.)"
Namibia,1990,0.59,"24,198",5,0.24,4,59," Whereas recognition of the inherent dignity and of the equal and inalienable rights of all members of the human family is indispensable for freedom, justice and peace; Whereas the said rights include the right of the individual to life, liberty and the pursuit of happiness, regardless of race, colour, ethnic origin, sex, religion, creed or social or economic status; Whereas the said rights are most effectively maintained and protected in a democratic society, where the government is responsible to freely elected representatives of the people, operating under a sovereign constitution and a free and independent judiciary; Whereas these rights have for so long been denied to the people of Namibia by colonialism, racism and apartheid; Whereas we the people of Namibia--have finally emerged victorious in our struggle against colonialism, racism and apartheid;are determined to adopt a Constitution which expresses for ourselves and our children our resolve to cherish and to protect the gains of our long struggle; desire to promote amongst all of us the dignity of the individual and the unity and integrity of the Namibian nation among and in association with the nations of the world; will strive to achieve national reconciliation and to foster peace, unity and a common loyalty to a single state; committed to these principles, have resolved to constitute the Republic of Namibia as a sovereign, secular, democratic and unitary State securing to all our citizens justice, liberty, equality and fraternity, Now therefore, we the people of Namibia accept and adopt this Constitution as the fundamental law of our Sovereign and Independent Republic."
Nauru,1968,0.33,"13,714",2,0.14,1,34,"WHEREAS we the people of Nauru acknowledge God as the almighty and everlasting Lord and the giver of all good things: AND WHEREAS we humbly place ourselves under the protection of His good providence and seek His blessing upon ourselves and upon our lives: AND WHEREAS we have declared that Nauru shall be a republic: AND WHEREAS a Constitutional Convention representing us has prepared a constitution for Nauru: NOW THEREFORE we the people of Nauru in our Constitutional Convention this twenty-ninth day of January, One thousand nine hundred and sixty-eight, do hereby adopt, enact and give to ourselves this Constitution to come into force on the thirty-first day of January, One thousand nine hundred and sixty-eight."
Nepal,2006,0.7,"32,753",3,0.29,6,56,"WE, THE SOVEREIGNTY AND STATE AUTHORITY INHERENT PEOPLE OF NEPAL, Respecting the people&#x27;s mandate expressed in favour of democracy, peace and progression through historical struggles and people&#x27;s movements launched by the people of Nepal at various times since before 2007 (1951) to till the date; Pledging to accomplish the progressive restructuring of the State in order to solve the problems existing in the country relating to class, ethnicity, region and gender; Expressing our full commitment to democratic values and norms including the competitive multi-party democratic system of governance, civil liberties, fundamental rights, human rights, adult franchise, periodic elections, complete freedom of the press, independent judiciary and concepts of the rule of law; Guarantee the basic rights of the people of Nepal to make a constitution for them on their own and to take part in a free and fair election to the Constituent Assembly in an environment without fear; Putting democracy, peace, prosperity, progressive socio-economic transformation and sovereignty, integrity independence and prestige of the country in the center; Declaring Nepal as a federal, democratic republican state upon duly abolishing the monarchy; HEREBY DECLARE, with a view to institutionalizing the achievements made through the revolutions and movements till now, the promulgation of this Interim Constitution of Nepal 2063 (2007), which has been made through a political understanding and to be in force until a new constitution is framed by the Constituent Assembly."
Netherlands,1815,0.43,"8,739",5,0.29,1,26,
